brk   ('brk', 'imp', 1, 0, '00')
bpl   ('bpl', 'rel', 1, 1, '10')
jsr   ('jsr', 'abs', 1, 2, '20')
      ('jsr', 'absI', 2, 2, '9B20')
      ('jsr', 'absS', 2, 2, '8B20')
      ('jsr', 'absSI', 3, 2, '8B9B20')
bmi   ('bmi', 'rel', 1, 1, '30')
rti   ('rti', 'imp', 1, 0, '40')
      ('rti.s', 'imp', 2, 0, '8B40')
bvc   ('bvc', 'rel', 1, 1, '50')
rts   ('rts', 'imp', 1, 0, '60')
      ('rts.s', 'imp', 2, 0, '8B60')
bvs   ('bvs', 'rel', 1, 1, '70')
bra   ('bra', 'rel', 1, 1, '80')
bcc   ('bcc', 'rel', 1, 1, '90')
ldy   ('ldy', 'imm', 1, 1, 'A0')
      ('ldy', 'zp', 1, 1, 'A4')
      ('ldy', 'zpX', 1, 1, 'B4')
      ('ldy', 'abs', 1, 2, 'AC')
      ('ldy', 'absX', 1, 2, 'BC')
      ('ldy', 'zpI', 2, 1, '9BA4')
      ('ldy', 'zpXI', 2, 1, '9BB4')
      ('ldy', 'absI', 2, 2, '9BAC')
      ('ldy', 'absXI', 2, 2, '9BBC')
      ('ldy.w', 'imm', 2, 2, 'ABA0')
      ('ldy.w', 'zp', 2, 1, 'ABA4')
      ('ldy.w', 'zpX', 2, 1, 'ABB4')
      ('ldy.w', 'abs', 2, 2, 'ABAC')
      ('ldy.w', 'absX', 2, 2, 'ABBC')
      ('ldy.w', 'zpI', 2, 1, 'BBA4')
      ('ldy.w', 'zpXI', 2, 1, 'BBB4')
      ('ldy.w', 'absI', 2, 2, 'BBAC')
      ('ldy.w', 'absXI', 2, 2, 'BBBC')
      ('ldy', 'zpS', 2, 1, '8BB4')
      ('ldy', 'absS', 2, 2, '8BBC')
      ('ldy.w', 'zpS', 2, 1, 'CBB4')
      ('ldy.w', 'absS', 2, 2, 'CBBC')
      ('ldy.w', 'zpSI', 2, 1, 'DBB4')
      ('ldy.w', 'absSI', 2, 2, 'DBBC')
      ('ldy', 'zpSI', 3, 1, '8B9BB4')
      ('ldy', 'absSI', 3, 2, '8B9BBC')
bcs   ('bcs', 'rel', 1, 1, 'B0')
cpy   ('cpy', 'imm', 1, 1, 'C0')
      ('cpy', 'zp', 1, 1, 'C4')
      ('cpy', 'abs', 1, 2, 'CC')
      ('cpy', 'zpI', 2, 1, '9BC4')
      ('cpy', 'absI', 2, 2, '9BCC')
      ('cpy.w', 'imm', 2, 2, 'ABC0')
      ('cpy.w', 'zp', 2, 1, 'ABC4')
      ('cpy.w', 'abs', 2, 2, 'ABCC')
      ('cpy.w', 'zpI', 2, 1, 'BBC4')
      ('cpy.w', 'absI', 2, 2, 'BBCC')
      ('cpy', 'zpS', 2, 1, '8BC4')
      ('cpy', 'absS', 2, 2, '8BCC')
      ('cpy.w', 'zpS', 2, 1, 'CBC4')
      ('cpy.w', 'absS', 2, 2, 'CBCC')
